PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
eating pizza,35,1.5,121.05
eating pizza and,35,1.5,121.05
eating pizza and watching,16,1.3,104.91
eating pizza and watching,14,1.5,121.05
eating pizza rolls,35,1.5,121.05
eating pizza with,35,1.5,121.05
eating pop corn,35,1.5,121.05
eating pop tarts,35,1.5,121.05
eating popcorn,35,1.5,121.05
eating popeyes,35,1.5,121.05
eating popsicles,35,1.5,121.05
eating poptarts,35,1.5,121.05
eating pork,35,1.5,121.05
eating potato chips,35,1.5,121.05
eating pretzels,35,1.5,121.05
eating pringles,35,1.5,121.05
eating problem,35,1.5,121.05
eating pudding,35,1.5,121.05
eating pupusas,35,1.5,121.05
eating ramen,35,1.5,121.05
eating ramen noodles,35,1.5,121.05
eating ravioli,35,1.5,121.05
eating raw cookie dough,35,1.5,121.05
eating ribs,35,1.5,121.05
eating rice,35,1.5,121.05
eating right now,35,1.5,121.05
eating right now lol,35,1.5,121.05
eating ritz crackers,35,1.5,121.05
eating rotel,35,1.5,121.05
eating salad,35,1.5,121.05
eating salads,35,1.5,121.05
eating salt,35,1.5,121.05
eating sandwiches,35,1.5,121.05
eating seafood,35,1.5,121.05
eating seeds,35,1.5,121.05
eating shrimp,35,1.5,121.05
eating skittles,35,1.5,121.05
eating snacks,35,1.5,121.05
eating snow,35,1.5,121.05
eating solo,35,1.5,121.05
eating some,35,1.5,121.05
eating some breakfast,35,1.5,121.05
eating some cake,35,1.5,121.05
eating some candy,35,1.5,121.05
eating some cereal,35,1.5,121.05
eating some chinese food,35,1.5,121.05
eating some chips,35,1.5,121.05
eating some cookies,35,1.5,121.05
eating some food,35,1.5,121.05
eating some good,35,1.5,121.05
eating some good food,35,1.5,121.05
eating some grub,35,1.5,121.05
eating some ice cream,35,1.5,121.05
eating some lunch,35,1.5,121.05
eating some noodles,35,1.5,121.05
eating some now,35,1.5,121.05
eating some oreos,35,1.5,121.05
eating some pizza,35,1.5,121.05
eating some right now,35,1.5,121.05
eating some soup,35,1.5,121.05
eating some taco bell,35,1.5,121.05
eating some tacos,35,1.5,121.05
eating some wings,35,1.5,121.05
eating something,35,1.5,121.05
eating sonic,35,1.5,121.05
eating soup,35,1.5,121.05
eating sour cream,35,1.5,121.05
eating sour patch kids,35,1.5,121.05
eating spaghetti,35,1.5,121.05
eating special k,35,1.5,121.05
eating starburst,35,1.5,121.05
eating steak,35,1.5,121.05
eating strawberries,35,1.5,121.05
eating subway,35,1.5,121.05
eating sunflower seeds,35,1.5,121.05
eating supper,35,1.5,121.05
eating sushi,35,1.5,121.05
eating sushi with,35,1.5,121.05
eating sweets,35,1.5,121.05
eating taco bell,35,1.5,121.05
eating taco bell again,35,1.5,121.05
eating tacos,35,1.5,121.05
eating takis,35,1.5,121.05
eating tamales,35,1.5,121.05
eating tasty animals,35,1.5,121.05
eating thanksgiving dinner,35,1.5,121.05
eating thanksgiving leftovers,35,1.5,121.05
eating them,35,1.5,121.05
eating them all,35,1.5,121.05
eating them right now,35,1.5,121.05
eating then,35,1.5,121.05
eating then bed,35,1.5,121.05
eating there,35,1.5,121.05
eating there again,35,1.5,121.05
eating these,35,1.5,121.05
eating these chips,35,1.5,121.05
eating this,35,1.5,121.05
eating this food,35,1.5,121.05
eating this http,35,1.5,121.05
eating this ice,35,1.5,121.05
eating this late,35,1.5,121.05
eating this pizza,35,1.5,121.05
eating this shit,35,1.5,121.05
eating those,35,1.5,121.05
eating those f,35,1.5,121.05
eating til,35,1.5,121.05
eating till,35,1.5,121.05
eating toast,35,1.5,121.05
eating today,35,1.5,121.05
eating together,35,1.5,121.05
eating tonight,35,1.5,121.05
eating too,35,1.5,121.05
eating too much,35,1.5,121.05
eating turkey,35,1.5,121.05
eating twizzlers,35,1.5,121.05
eating two,35,1.5,121.05
eating unhealthy,35,1.5,121.05
eating until,35,1.5,121.05
eating vegetables,35,1.5,121.05
eating w,35,1.5,121.05
eating waffle house,35,1.5,121.05
eating waffles,35,1.5,121.05
eating watermelon,35,1.5,121.05
eating wendy's,35,1.5,121.05
eating whataburger,35,1.5,121.05
eating while,35,1.5,121.05
eating white castle,35,1.5,121.05
eating wings,35,1.5,121.05
eating with,35,1.5,121.05
eating with dad,35,1.5,121.05
eating with fam,35,1.5,121.05
eating with friends,35,1.5,121.05
eating with my,35,1.5,121.05
eating with my babe,35,1.5,121.05
eating with my dad,35,1.5,121.05
eating with my family,35,1.5,121.05
eating with my love,35,1.5,121.05
eating with my mom,35,1.5,121.05
eating with my pops,35,1.5,121.05
eating with my wife,35,1.5,121.05
eating with the,35,1.5,121.05
eating with the boys,35,1.5,121.05
eating with the crew,35,1.5,121.05
eating with the fam,35,1.5,121.05
eating with the family,35,1.5,121.05
eating with the kids,35,1.5,121.05
eating with the team,35,1.5,121.05
eating with the wife,35,1.5,121.05
eating with us,35,1.5,121.05
eating yogurt,35,1.5,121.05
eating yummy food,35,1.5,121.05
eating zaxbys,35,1.5,121.05
eating',35,1.5,121.05
eatingg,35,1.5,121.05
eatinggg,35,1.5,121.05
eatingggggg,35,1.5,121.05
election watch party,16,1.3,104.91
eliptical,2,5,403.5
elliptical,2,5,403.5
elliptical and,2,5,403.5
elliptical at the gym,2,5,403.5
elliptical for,2,5,403.5
elliptical machine,2,5,403.5
elliptical machines,2,5,403.5
elliptical time,2,5,403.5
elliptical today,2,5,403.5
ellipticalling,2,5,403.5
ellipticals,2,5,403.5
else to eat,35,1.5,121.05
emotional eating,35,1.5,121.05
ended up eating,35,1.5,121.05
ended up running,33,11.8,952.26
ended up watching,16,1.3,104.91
ended up watching it,16,1.3,104.91
english reading,25,1.5,121.05
enjoy church today,40,1.8,145.26
enjoy cleaning,9,3.3,266.31
enjoy eating,35,1.5,121.05
enjoy reading your tweets,25,1.5,121.05
enjoy sitting,22,1.3,104.91
enjoyed church,40,1.8,145.26
enjoyed church today,40,1.8,145.26
enjoyed reading,25,1.5,121.05
enjoyed reading it,25,1.5,121.05
enjoying reading,25,1.5,121.05
enjoying sitting,22,1.3,104.91
enjoying watching,16,1.3,104.91
enough time to eat,35,1.5,121.05
enough time to shower,34,2,161.4
enough to eat,35,1.5,121.05
essay writing,25,1.5,121.05
even after i eat,35,1.5,121.05
even watch football,16,1.3,104.91
even watch it,16,1.3,104.91
even watch the,16,1.3,104.91
even watch the game,16,1.3,104.91
even watch this,16,1.3,104.91
even watch tv,16,1.3,104.91
evening hike,38,6,484.2
evening hike http,38,6,484.2
evening hunt,8,3.5,282.45
evening run,33,11.8,952.26
evening walk,37,3.5,282.45
evening walks,37,3.5,282.45
ever read this,25,1.5,121.05
ever stop eating,35,1.5,121.05
ever watched,16,1.3,104.91
everything i eat,35,1.5,121.05
everytime i eat,35,1.5,121.05
everytime i read,25,1.5,121.05
everytime i read it,25,1.5,121.05
excellent read,25,1.5,121.05
excited to eat,35,1.5,121.05
excited to read it,25,1.5,121.05
excited to watch it,16,1.3,104.91
excited to watch the,16,1.3,104.91
exercise bike,2,7,564.9
eyebrows and nails done,34,1.3,104.91
fa church,40,1.8,145.26
fabric shopping,13,2.3,185.61
fairhope jazzercise,5,6,484.2
fall cleaning,9,3.3,266.31
fall shopping,13,2.3,185.61
family reunion,29,1.8,145.26
family reunion in,29,1.8,145.26
family reunion soon,29,1.8,145.26
family reunion this,29,1.8,145.26
family reunion this weekend,29,1.8,145.26
family reunion time,29,1.8,145.26
family reunion today,29,1.8,145.26
family reunion tomorrow,29,1.8,145.26
fantastic run,33,11.8,952.26
fast pace after-work hike,38,6,484.2
fastest shower ever,34,2,161.4
father daughter dance,7,7.8,629.46
father's day shopping,13,2.3,185.61
fav place to eat,35,1.5,121.05
favorite place to eat,35,1.5,121.05
favorite places to eat,35,1.5,121.05
favorite thing to eat,35,1.5,121.05
feature writing,25,1.5,121.05
feed my baby,17,2,161.4
feed my dogs,18,2.5,201.75
feed my kid,17,2,161.4
feed the baby,17,2,161.4
feeding her,17,2,161.4
feeding him,17,2,161.4
feeding my baby,17,2,161.4
feeding my dog,18,2.5,201.75
feeding my family,17,2,161.4
feeding my nephew,17,2,161.4
feeding my princess,17,2,161.4
feeding my son,17,2,161.4
feeding my son,17,2,161.4
feeding the,17,2,161.4
feeding the animals,18,2.5,201.75
feeding the baby,17,2,161.4
feeding the beast,18,2.5,201.75
feeding the birds,18,2.5,201.75
feeding the cat,18,2.5,201.75
feeding the dogs,18,2.5,201.75
feeding the dogs,18,2.5,201.75
feeding the dolphins,18,2.5,201.75
feeding the ducks,18,2.5,201.75
feeding the fish,18,2.5,201.75
feeding the girls,17,2,161.4
feeding the goats,18,2.5,201.75
feeding the horses,18,2.5,201.75
feeding the kids,17,2,161.4
feeding them,17,2,161.4
feeling of laying in,21,1.3,104.91
feet and nails done,34,1.3,104.91
fell off my bike,1,4,322.8
fenna eat,35,1.5,121.05
few groceries,12,2.3,185.61
fidget,23,1.8,145.26
fidgeting,23,1.8,145.26
fidgety,23,1.8,145.26
figure drawing,15,1.8,145.26
file my nails,34,2,161.4
filled my car up,11,3.3,266.31
filled with shopping or a,13,2.3,185.61
filling my car up,11,3.3,266.31
fina eat,35,1.5,121.05
fina eat good,35,1.5,121.05
fina get in the shower,34,2,161.4
fina get my hair done,34,1.3,104.91
fina go eat,35,1.5,121.05
fina shower,34,2,161.4
fina take a shower,34,2,161.4
fina walk,37,3.5,282.45
fina wash my hair,34,2,161.4
final packing,9,2.3,185.61
finally ate,35,1.5,121.05
finally bout to eat,35,1.5,121.05
finally clean,9,3.3,266.31
finally clean my room,9,3.3,266.31
finally cleaned my room,9,3.3,266.31
finally doing laundry,9,2.3,185.61
finally done cleaning,9,3.3,266.31
finally done cleaning my room,9,3.3,266.31
finally done cleaning up,9,3.3,266.31
finally done packing,9,2.3,185.61
finally done shopping,13,2.3,185.61
finally done with my hair,34,2.5,201.75
finally eat,35,1.5,121.05
finally eating,35,1.5,121.05
finally eating breakfast,35,1.5,121.05
finally eating dinner,35,1.5,121.05
finally eating here,35,1.5,121.05
finally eating lunch,35,1.5,121.05
finally eating something,35,1.5,121.05
finally finished cleaning,9,3.3,266.31
finally finished my hair,34,2.5,201.75
finally finished packing,9,2.3,185.61
finally finished watching,16,1.3,104.91
finally found a place to eat,35,1.5,121.05
finally get dressed,34,2.5,201.75
finally get my hair done,34,1.3,104.91
finally get to eat,35,1.5,121.05
finally get to watch my,16,1.3,104.91
finally get to watch the,16,1.3,104.91
finally gettin my hair done,34,1.3,104.91
finally getting a hair cut,34,1.3,104.91
finally getting a haircut,34,1.3,104.91
finally getting a haircut today,34,1.3,104.91
finally getting around to watching,16,1.3,104.91
finally getting my hair,34,1.3,104.91
finally getting my hair cut,34,1.3,104.91
finally getting my hair did,34,1.3,104.91
finally getting my hair done,34,1.3,104.91
finally getting my hair done tomorrow,34,1.3,104.91
finally getting my haircut,34,1.3,104.91
finally getting my nails done,34,1.3,104.91
finally gonna eat,35,1.5,121.05
finally got a hair cut,34,1.3,104.91
finally got a haircut,34,1.3,104.91
finally got around to watching,16,1.3,104.91
finally got around to watching the,16,1.3,104.91
finally got to watch it,16,1.3,104.91
finally got to watch the,16,1.3,104.91
finally have time to watch the,16,1.3,104.91
finally laying down,21,1.3,104.91
finally laying down in,21,1.3,104.91
finally out of church,40,1.8,145.26
finally outta church,40,1.8,145.26
finally reading,25,1.5,121.05
finally sitting,22,1.3,104.91
finally sitting down,22,1.3,104.91
finally sitting down to,22,1.3,104.91
finally sitting down to watch,22,1.3,104.91
finally time to eat,35,1.5,121.05
finally watch it,16,1.3,104.91
finally watched,16,1.3,104.91
finally watched it,16,1.3,104.91
finally watched the,16,1.3,104.91
finally watching,16,1.3,104.91
finally watching breaking dawn,16,1.3,104.91
finally watching glee,16,1.3,104.91
finally watching harry potter,16,1.3,104.91
finally watching hunger games,16,1.3,104.91
finally watching magic mike,16,1.3,104.91
finally watching pitch perfect,16,1.3,104.91
finally watching project x,16,1.3,104.91
finally watching season,16,1.3,104.91
finally watching ted,16,1.3,104.91
finally watching the,16,1.3,104.91
finally watching the dark knight rises,16,1.3,104.91
finally watching the hunger games,16,1.3,104.91
finally watching the new,16,1.3,104.91
finally watching the vow,16,1.3,104.91
find me on draw something,27,1,80.7
find me some to eat,35,1.5,121.05
find me something to eat,35,1.5,121.05
find me sum to eat,35,1.5,121.05
find myself watching,16,1.3,104.91
find myself watching the,16,1.3,104.91
find some to eat,35,1.5,121.05
find somethin to eat,35,1.5,121.05
find something to eat,35,1.5,121.05
find sum to eat,35,1.5,121.05
find sumn to eat,35,1.5,121.05
find sumthin to eat,35,1.5,121.05
finger paint,15,1.8,145.26
finger painting,15,1.8,145.26
fingerpaint,15,1.8,145.26
finish christmas shopping,13,2.3,185.61
finish cleanin my room,9,3.3,266.31
finish cleaning,9,3.3,266.31
finish cleaning my,9,3.3,266.31
finish cleaning my room,9,3.3,266.31
finish cleaning up,9,3.3,266.31
finish cooking,10,3.5,282.45
finish doing my hair,34,2.5,201.75
finish eating,35,1.5,121.05
finish eating breakfast,35,1.5,121.05
finish getting dress,34,2.5,201.75
finish getting dressed,34,2.5,201.75
finish getting my hair done,34,1.3,104.91
finish laundry,9,2.3,185.61
finish my christmas shopping,13,2.3,185.61
finish my hair,34,2.5,201.75
finish my laundry,9,2.3,185.61
finish packing,9,2.3,185.61
finish packing and,9,2.3,185.61
finish painting my room,20,3.3,266.31
finish reading,25,1.5,121.05
finish reading it,25,1.5,121.05
finish reading this book,25,1.5,121.05
finish running,33,11.8,952.26
finish shoppin,13,2.3,185.61
finish shopping,13,2.3,185.61
finish showering,34,2,161.4
finish the laundry,9,2.3,185.61
finish this laundry,9,2.3,185.61
finish unpacking,9,2.3,185.61
finish up christmas shopping,13,2.3,185.61
finish walking,37,3.5,282.45
finish washing clothes,9,2.3,185.61
finish washing my hair,34,2,161.4
finish watching cartoons,16,1.3,104.91
finish watching the ,16,1.3,104.91
finish watching the game,16,1.3,104.91
finish watching this game,16,1.3,104.91
finish watching this movie,16,1.3,104.91
finish wrapping,15,1.3,104.91
finish writing,25,1.5,121.05
finished all my christmas shopping,13,2.3,185.61
finished christmas shopping,13,2.3,185.61
finished cleaning,9,3.3,266.31
finished cleaning my,9,3.3,266.31
finished cleaning my room,9,3.3,266.31
finished cleaning up,9,3.3,266.31
finished cooking,10,3.5,282.45
finished eating,35,1.5,121.05
finished getting dressed,34,2.5,201.75
finished laundry,9,2.3,185.61
finished my christmas shopping,13,2.3,185.61
finished my hair,34,2.5,201.75
finished my laundry,9,2.3,185.61
finished my run,33,11.8,952.26
finished packing,9,2.3,185.61
finished reading,25,1.5,121.05
finished reading the,25,1.5,121.05
finished running,33,11.8,952.26
finished shopping,13,2.3,185.61
finished washing my car,9,3.5,282.45
finished washing my hair,34,2,161.4
finished watching,16,1.3,104.91
finished watching it,16,1.3,104.91
finished watching that,16,1.3,104.91
finished watching the,16,1.3,104.91
finished with my hair,34,2.5,201.75
finished wrapping,15,1.3,104.91
finished writing,25,1.5,121.05
finished xmas shopping,13,2.3,185.61
finishing christmas shopping,13,2.3,185.61
finishing laundry,9,2.3,185.61
finishing my christmas shopping,13,2.3,185.61
finishing my hair,34,2.5,201.75
finishing packing,9,2.3,185.61
finishing up christmas shopping,13,2.3,185.61
finishing up laundry,9,2.3,185.61
finishing up my christmas shopping,13,2.3,185.61
finishing up packing,9,2.3,185.61
finna be packed,9,2.3,185.61
finna brush my teeth,34,2,161.4
finna clean,9,3.3,266.31
finna clean my room,9,3.3,266.31
finna clean up,9,3.3,266.31
finna clean up my room,9,3.3,266.31
finna cook,10,3.5,282.45
finna cook breakfast,10,3.5,282.45
finna cook me,10,3.5,282.45
finna cook me some,10,3.5,282.45
finna cook some,10,3.5,282.45
finna curl my hair,34,2.5,201.75
finna do my hair,34,2.5,201.75
finna eat,35,1.5,121.05
finna eat breakfast,35,1.5,121.05
finna eat good,35,1.5,121.05
finna eat me some,35,1.5,121.05
finna eat some,35,1.5,121.05
finna eat some cereal,35,1.5,121.05
finna eat some pizza,35,1.5,121.05
finna eat sum,35,1.5,121.05
finna eat then,35,1.5,121.05
finna eat this,35,1.5,121.05
finna find some to eat,35,1.5,121.05
finna find something to eat,35,1.5,121.05
finna flat iron my hair,34,2.5,201.75
finna get dress,34,2.5,201.75
finna get dressed,34,2.5,201.75
finna get in da shower,34,2,161.4
finna get in tha shower,34,2,161.4
finna get in the shower,34,2,161.4
finna get in this shower,34,2,161.4
finna get my hair,34,1.3,104.91
finna get my hair did,34,1.3,104.91
finna get my hair done,34,1.3,104.91
finna get my haircut,34,1.3,104.91
finna get my nails done,34,1.3,104.91
finna go eat,35,1.5,121.05
finna go eat some,35,1.5,121.05
finna go get my hair done,34,1.3,104.91
finna go get my haircut,34,1.3,104.91
finna go get something to eat,35,1.5,121.05
finna go get sum to eat,35,1.5,121.05
finna go take a shower,34,2,161.4
finna go to church,40,1.8,145.26
finna hit da shower,34,2,161.4
finna hit dis shower,34,2,161.4
finna hit the shower,34,2,161.4
finna hit the shower then,34,2,161.4
finna hit this shower,34,2,161.4
finna hop in da shower,34,2,161.4
finna hop in this shower,34,2,161.4
finna hop n da shower,34,2,161.4
finna jump in the shower,34,2,161.4
finna play call of duty,27,1,80.7
finna play fun run,27,1,80.7
finna play madden,27,1,80.7
finna play mw,27,1,80.7
finna play ruzzle,27,1,80.7
finna play temple run,27,1,80.7
finna shower,34,2,161.4
finna shower and,34,2,161.4
finna shower bbl,34,2,161.4
finna start packing,9,2.3,185.61
finna straighten my hair,34,2.5,201.75
finna take a hot shower,34,2,161.4
finna take a shower,34,2,161.4
finna take ah shower,34,2,161.4
finna take my shower,34,2,161.4
finna walk,37,3.5,282.45
finna walk around,37,3.5,282.45
finna walk to,37,3.5,282.45
finna walk to the store,37,3.5,282.45
finna wash dishes,9,1.8,145.26
finna wash my clothes,9,3.3,266.31
finna wash my hair,34,2,161.4
finna watch a,16,1.3,104.91
finna watch a movie,16,1.3,104.91
finna watch friday,16,1.3,104.91
finna watch movies,16,1.3,104.91
finna watch some,16,1.3,104.91
finna watch ted,16,1.3,104.91
finna watch this,16,1.3,104.91
finna watch this movie,16,1.3,104.91
finna watch tv,16,1.3,104.91
finna wrap my hair,34,2.5,201.75
first dance,7,7.8,629.46
first dance as husband and wife,7,3,242.1
first dance at my wedding,7,7.8,629.46
first dance to me,7,7.8,629.46
first friday art walk,37,3.5,282.45
first round of golf in,36,4.8,387.36
first run in,33,11.8,952.26
first run of the day,33,11.8,952.26
fish before,8,3.5,282.45
fish today,8,3.5,282.45
fish tomorrow,8,3.5,282.45
fishin,8,3.5,282.45
fishin in,8,3.5,282.45
fishin today,8,3.5,282.45
fishin tomorrow,8,3.5,282.45
fishin with,8,3.5,282.45
fishin',8,3.5,282.45
fishing,8,3.5,282.45
fishing again,8,3.5,282.45
fishing all day,8,3.5,282.45
fishing and,8,3.5,282.45
fishing anyone,8,3.5,282.45
fishing day,8,3.5,282.45
fishing http,8,3.5,282.45
fishing in,8,3.5,282.45
fishing in the morning,8,3.5,282.45
fishing later,8,3.5,282.45
fishing right now,8,3.5,282.45
fishing rod,8,3.5,282.45
fishing saturday,8,3.5,282.45
fishing soon,8,3.5,282.45
fishing spot,8,3.5,282.45
fishing this weekend,8,3.5,282.45
fishing time,8,3.5,282.45
fishing today,8,3.5,282.45
fishing tomorrow,8,3.5,282.45
fishing tonight,8,3.5,282.45
fishing tournament,8,3.5,282.45
fishing trip,8,3.5,282.45
fishing w,8,3.5,282.45
fishing with,8,3.5,282.45
fishing with grandpa,8,3.5,282.45
fishing with me,8,3.5,282.45
fishing with my,8,3.5,282.45
fishing with my dad,8,3.5,282.45
fishing with the boys,8,3.5,282.45
fishinggg,8,3.5,282.45
fishn,8,3.5,282.45
fitness hike,38,6,484.2
fitness hike http,38,6,484.2
five mile run,33,11.8,952.26
fix me some to eat,35,1.5,121.05
fix me something to eat,35,1.5,121.05
fix me something too eat,35,1.5,121.05
fix my hair,34,2.5,201.75
fixed my car,11,3.3,266.31
fixed my hair,34,2.5,201.75
fixing cars,11,3.3,266.31
fixing my car,11,3.3,266.31
fixing my hair,34,2.5,201.75
fixing the car,11,3.3,266.31
fixing to eat,35,1.5,121.05
